Model,Manual_annotated_sentences,Date-Drug_annotations,Generated_annotations,Total_annotations,Type_of_evaluation,Initiation_[95%_CI],Continuation_[95%_CI],Termination_[95%_CI],Ambiguous_[95%_CI],NoRelationship_[95%_CI],Macro_[95%_CI]
AliBERT-7GB,1035,3235,45000,48235,f1-score,0.807 [0.759 - 0.851],0.69 [0.605 - 0.762],0.82 [0.75 - 0.886],0.291 [0.133 - 0.456],0.799 [0.748 - 0.844],0.682 [0.634 - 0.728]
AliBERT-7GB,1035,3235,93000,96235,precision,0.839 [0.78 - 0.896],0.537 [0.447 - 0.628],0.919 [0.845 - 0.979],0.418 [0.188 - 0.643],0.807 [0.743 - 0.871],0.704 [0.653 - 0.759]
AliBERT-7GB,1035,3235,93000,96235,recall,0.809 [0.74 - 0.872],0.815 [0.73 - 0.897],0.768 [0.671 - 0.855],0.226 [0.097 - 0.394],0.764 [0.704 - 0.824],0.676 [0.634 - 0.716]
AliBERT-7GB,1035,3235,93000,96235,f1-score,0.823 [0.774 - 0.868],0.646 [0.565 - 0.718],0.836 [0.767 - 0.899],0.289 [0.136 - 0.453],0.784 [0.735 - 0.832],0.676 [0.631 - 0.719]
CamemBERT-bio-base,100,335,0,335,precision,0.372 [0.317 - 0.421],0.568 [0.167 - 1.0],0.0 [0.0 - 0.0],0.0 [0.0 - 0.0],0.701 [0.627 - 0.771],0.328 [0.248 - 0.411]
CamemBERT-bio-base,100,335,0,335,recall,0.836 [0.776 - 0.896],0.048 [0.011 - 0.096],0.0 [0.0 - 0.0],0.0 [0.0 - 0.0],0.697 [0.628 - 0.755],0.316 [0.294 - 0.335]
CamemBERT-bio-base,100,335,0,335,f1-score,0.514 [0.453 - 0.567],0.087 [0.021 - 0.169],0.0 [0.0 - 0.0],0.0 [0.0 - 0.0],0.698 [0.638 - 0.746],0.26 [0.237 - 0.284]
CamemBERT-bio-base,395,1230,0,1230,precision,0.585 [0.517 - 0.646],0.538 [0.427 - 0.642],0.863 [0.767 - 0.945],0.245 [0.0 - 0.667],0.771 [0.708 - 0.837],0.6 [0.532 - 0.682]
CamemBERT-bio-base,395,1230,0,1230,recall,0.865 [0.802 - 0.921],0.549 [0.439 - 0.648],0.556 [0.446 - 0.661],0.064 [0.0 - 0.179],0.675 [0.598 - 0.735],0.542 [0.502 - 0.58]
CamemBERT-bio-base,395,1230,0,1230,f1-score,0.697 [0.637 - 0.75],0.542 [0.444 - 0.628],0.675 [0.571 - 0.761],0.099 [0.0 - 0.256],0.719 [0.667 - 0.771],0.546 [0.5 - 0.589]
CamemBERT-bio-base,740,2406,0,2406,precision,0.736 [0.673 - 0.8],0.663 [0.566 - 0.762],0.776 [0.691 - 0.857],0.207 [0.104 - 0.317],0.872 [0.814 - 0.926],0.651 [0.614 - 0.688]
CamemBERT-bio-base,740,2406,0,2406,recall,0.852 [0.783 - 0.906],0.618 [0.519 - 0.716],0.948 [0.895 - 0.988],0.356 [0.2 - 0.533],0.599 [0.527 - 0.675],0.675 [0.636 - 0.716]
CamemBERT-bio-base,740,2406,0,2406,f1-score,0.789 [0.741 - 0.839],0.638 [0.555 - 0.718],0.853 [0.79 - 0.906],0.259 [0.135 - 0.366],0.709 [0.652 - 0.769],0.65 [0.612 - 0.688]
